Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
COLWICH GARDENS ASSISTED LIVING LLC,,N087081, Assisted Living Facility,300 E CHICAGO,COLWICH,SEDGWICK,KS,67030,ANDREW KUEHN,Inspection Results and Facility Details,316-260-1034
"COMFORT AND LOVE WICHITA, LLC",,B087246,Home Plus,2062 N GARNETT ST,WICHITA,SEDGWICK,KS,67206-3021,KATHRYN PATTEN,Inspection Results and Facility Details,316-260-4330
"COMFORT AND LOVE WICHITA, LLC",COMFORT AND LOVE 2042,B087257,Home Plus,2042 N GARNETT ST,WICHITA,SEDGWICK,KS,67206,KATHRYN PATTEN,Inspection Results and Facility Details,316-260-4330
COMFORT CARE HOMES INC,COMFORT CARE HOMES INC 29TH #1,B087247,Home Plus,8631 W 29TH ST N,WICHITA,SEDGWICK,KS,67205,KASEY BREIDENTHAL,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC,COMFORT CARE HOMES 29TH #2,B087248,Home Plus,8629 W 29TH ST N,WICHITA,SEDGWICK,KS,67205,MARY RUSH,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #147,,B087100,Home Plus,147 S RIDGEWOOD DRIVE,WICHITA,SEDGWICK,KS,67218-1817,KASEY BREIDENTHAL,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #219,,B087206,Home Plus,219 S MORNINGSIDE ST,WICHITA,SEDGWICK,KS,67218-1813,DEBORAH GOODWIN,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #441,,B087095,Home Plus,441 S MORNINGSIDE ST,WICHITA,SEDGWICK,KS,67218-1817,DEBORAH GOODWIN,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #557,,B087186,Home Plus,557 N ARMOUR,WICHITA,SEDGWICK,KS,67218-1817,DEBORAH GOODWIN,Inspection Results and Facility Details,316-685-3322
COMFORT CARE HOMES INC #641,,B087125,Home Plus,641 N BROADMOOR AVE,WICHITA,SEDGWICK,KS,67206-1603,KASEY BREIDENTHAL,Inspection Results and Facility Details,316-685-3322
COMFORTCARE HOMES MILLIES PLACE,,B019002,Home Plus,803 LAKEVIEW DR,PITTSBURG,CRAWFORD,KS,66762,CHRIS WINDSOR,Inspection Results and Facility Details,620-308-6520
COMFORTCARE HOMES OF HARVEY COUNTY ANNABELLES COTTAGE,,B040003,Home Plus,1508 TERRACE DRIVE,NEWTON,HARVEY,KS,67114,SHARON ERWIN,Inspection Results and Facility Details,316-333-1406
COMFORTCARE HOMES OF HARVEY COUNTY LLC MAMA GS HOUSE,,B040001,Home Plus,1504 TERRACE DRIVE,NEWTON,HARVEY,KS,67114,SHARON ERWIN,Inspection Results and Facility Details,316-804-7220
COMFORTCARE HOMES OF PITTSBURG LLC COLLEENS COTTAGE,,B019004,Home Plus,704 LAKEVIEW DRIVE,PITTSBURG,CRAWFORD,KS,66762,CHRIS WINDSOR,Inspection Results and Facility Details,620-308-6520
"COMFORTCARE HOMES, INC.",COMFORTCARE HOMES WEST 3,B087273,Home Plus,8649 W 29TH STREET N,WICHITA,SEDGWICK,KS,67205,JENNIFER BOLYARD,Inspection Results and Facility Details,316-685-3322
"COMFORTS OF HOME, LLC",THE PINES OF HIAWATHA- SOUTH,B007004,Home Plus,1480 230TH ST,HIAWATHA,BROWN,KS,66434,LAMONT COOK,Inspection Results and Facility Details,785-740-7463
COMMUNITY HOSPITAL ONAGA LTCU,,H075101,Long Term Care Unit,206 GRAND AVE,ST MARYS,POTTAWATOMIE,KS,66536,SHANNON HEIM,Inspection Results and Facility Details,785-437-2286
COMPASSIONATE HANDS LLC,ALLIE HOUSE,B046087,Home Plus,11362 S REDBUD LN,OLATHE,JOHNSON,KS,66061,NELLIE MBOTE,Inspection Results and Facility Details,816-209-9237
COMPASSIONATE HANDS LLC,AMANI HOUSE,B046088,Home Plus,11346 S REDBUD LANE,OLATHE,JOHNSON,KS,66061,NELLIE MBOTE,Inspection Results and Facility Details,816-209-9237
CORNERSTONE ASSISTED LIVING INC,,N087041, Assisted Living Facility,1240 N BROADMOOR AVENUE,WICHITA,SEDGWICK,KS,67206-3869,CYNTHIA DAVENPORT,Inspection Results and Facility Details,316-636-5101
COUNCIL GROVE ASSISTED LIVING LLC,,N064002, Assisted Living Facility,554 COUNTRY LANE,COUNCIL GROVE,MORRIS,KS,66846,LAVERNE YOUNG,Inspection Results and Facility Details,620-767-5600
COUNTRY CLUB ESTATES LP,,N061007, Residential Health Care Facility,2 LEWIS DRIVE,PAOLA,MIAMI,KS,66071-1126,DAVID ACHEY,Inspection Results and Facility Details,913-294-4531
COUNTRY LIVING INC,,N039004, Assisted Living Facility,420 N 5TH,ANTHONY,HARPER,KS,67003,CINDY ASH,Inspection Results and Facility Details,620-842-5858
COUNTRYSIDE HEALTH CENTER,,N089008,Mental Health Nursing Facility<BR> Residential Health Care Facility,440 SE WOODLAND AVENUE,TOPEKA,SHAWNEE,KS,66607-2172,GARY  BURKDOLL,Inspection Results and Facility Details,785-234-6147
"COVENANT CARE, INC",COVENANT CARE SENIOR LIVING,B087158,Home Plus,14422 TWINLAKE DRIVE,WICHITA,SEDGWICK,KS,67230-9517,NATE MATHEWS,Inspection Results and Facility Details,316-655-9996
COZY COTTAGE SENIOR LIVING LLC,COZY COTTAGE SENIOR LIVING,B087275,Home Plus,2650 N. GENTRY STREET,WICHITA,SEDGWICK,KS,67220,BRITTANY BROWN,Inspection Results and Facility Details,316-992-9187
CRESTVIEW NURSING & RESIDENTIAL LIVING,,N066003,Nursing Facility<BR> Residential Health Care Facility,808 N. 8TH STREET,SENECA,NEMAHA,KS,66538,SARA SOURK,Inspection Results and Facility Details,785-336-2156
CUMBERNAULD VILLAGE INC,CUMBERNAULD VILLAGE,N018009,Nursing Facility<BR> Residential Health Care Facility,716 TWEED STREET,WINFIELD,COWLEY,KS,67156-1595,SARAH GRIGGS,Inspection Results and Facility Details,620-221-4141
DAWSON PLACE,,N033001,Nursing Facility,208 W. PROUT STREET,HILL CITY,GRAHAM,KS,67642-1434,BRANDY BORN,Inspection Results and Facility Details,785-421-3414
DC DEFENSE SYSTEMS LLC,PROVIDENCE HOMES PLUS,B089101,Home Plus,1920 SW 32ND ST,TOPEKA,SHAWNEE,KS,66611-2063,LISA PEAVLER,Inspection Results and Facility Details,785-408-1559
DELAWARE HIGHLANDS AL SERVICES PROVIDER LLC,DELAWARE HIGHLANDS ASSISTED LIVING,N105014, Assisted Living Facility,12600 DELAWARE PARKWAY,KANSAS CITY,WYANDOTTE,KS,66109,SUZANNE SEXTON,Inspection Results and Facility Details,913-721-1400
DELMAR GARDENS OF LENEXA,,N046014,Nursing Facility,9701 MONROVIA STREET,LENEXA,JOHNSON,KS,66215,KATHRYN ALLEN,Inspection Results and Facility Details,913-492-1130
DELMAR GARDENS OF OVERLAND PARK,,N046032,Nursing Facility,12100 W. 109TH STREET,OVERLAND PARK,JOHNSON,KS,66210-1200,COURTNEY O'CONNOR,Inspection Results and Facility Details,913-469-4210
DERBY ASSISTED LIVING LLC,AVITA SENIOR LIVING AT DERBY,N087066, Assisted Living Facility,719 N KLEIN CIRCLE,DERBY,SEDGWICK,KS,67037-,MIRANDA ROWLAND,Inspection Results and Facility Details,316-260-4447
DERBY HEALTH & REHABILITATION LLC,,N087063,Nursing Facility,731 KLEIN CIRCLE,DERBY,SEDGWICK,KS,67037,VEENA BOLAN,Inspection Results and Facility Details,316-719-2400
DIGNITY CARE HOME,,N085008, Residential Health Care Facility,745 FAITH DR,SALINA,SALINE,KS,67401-5269,PAUL MYERS ACHO,Inspection Results and Facility Details,785-823-3434
DIVERSICARE OF CHANUTE,,N067004,Nursing Facility,530 W. 14TH STREET,CHANUTE,NEOSHO,KS,66720-2877,BRYAN ROBY,Inspection Results and Facility Details,620-431-4940
DIVERSICARE OF COUNCIL GROVE,,N064001,Nursing Facility,400 SUNSET DRIVE,COUNCIL GROVE,MORRIS,KS,66846,BRAD FISCHER,Inspection Results and Facility Details,620-767-5172
DIVERSICARE OF HAYSVILLE,,N087005,Nursing Facility,215 N. LAMAR AVENUE,HAYSVILLE,SEDGWICK,KS,67060-1266,ISAIAH MEDINA,Inspection Results and Facility Details,316-524-3211
"DIVERSICARE OF HUTCHINSON, LLC",DIVERSICARE OF HUTCHINSON,N078003,Nursing Facility,1202 E 23RD AVENUE,HUTCHINSON,RENO,KS,67502-5656,RENEE JOHNSON,Inspection Results and Facility Details,620-669-9393
DIVERSICARE OF LARNED,,N073001,Nursing Facility<BR> Residential Health Care Facility,1114 W 11TH STREET,LARNED,PAWNEE,KS,67550-1941,BRYAN STACEY,Inspection Results and Facility Details,620-285-6914
DIVERSICARE OF SEDGWICK,,N040007,Nursing Facility,712 N. MONROE AVENUE,SEDGWICK,HARVEY,KS,67135,RAYNA BITTEL,Inspection Results and Facility Details,316-772-5185
DIVINE CARE HOMES LLC,DIVINE CARE HOMES #2,B087261,Home Plus,303 N TYLER,WICHITA,SEDGWICK,KS,67212,RACHEL THOMAS,Inspection Results and Facility Details,316-796-4147
DIVINE CARE HOMES LLC,,B087195,Home Plus,5319 S SPRUCE STREET,WICHITA,SEDGWICK,KS,67216,RACHEL THOMAS,Inspection Results and Facility Details,316-796-4147
DOOLEY CENTER,,N003003,Nursing Facility,801 SOUTH 8TH STREET,ATCHISON,ATCHISON,KS,66002,RENEE PORTER,Inspection Results and Facility Details,913-360-6200
DORIS FAYE HOMES LLC,DORIS FAYE HOMES,B087262,Home Plus<BR>Adult Day Care,3506 W DONNA AVE,WICHITA,SEDGWICK,KS,67203-1003,DEIRDRE BERRY,Inspection Results and Facility Details,316-364-4993
DOVE ESTATES SENIOR LIVING COMMUNITY,,N087082, Assisted Living Facility,1400 S. 183RD WEST,GODDARD,SEDGWICK,KS,67052,KEVIN WAYNE FRYMIRE,Inspection Results and Facility Details,316-550-6343
DOWNS OPERATOR LLC,DOWNS CARE AND REHABILITATION CENTER,N071001,Nursing Facility,1218 KANSAS STREET,DOWNS,OSBORNE,KS,67437-1404,JAMES STRUCKHOFF,Inspection Results and Facility Details,785-454-3321
EAGLE ESTATES INC,,N063011, Residential Health Care Facility,1354 TAYLOR ROAD,INDEPENDENCE,MONTGOMERY,KS,67301,JENNIFER TUCKER,Inspection Results and Facility Details,620-331-1662
EAGLECREST RETIREMENT COMMUNITY,,N085012, Assisted Living Facility,1501 E. MAGNOLIA ROAD,SALINA,SALINE,KS,67401,NANCY NICKELL,Inspection Results and Facility Details,785-309-1501
EARHART HEALTHCARE LLC,ATCHISON SENIOR VILLAGE REHABILITATION AND NURSING CENTER,N003001,Nursing Facility,1419 N. 6TH STREET,ATCHISON,ATCHISON,KS,66002,ELIZABETH MUNFORD,Inspection Results and Facility Details,913-367-1906
EASTRIDGE,,N066006,Nursing Facility,604 1ST STREET,CENTRALIA,NEMAHA,KS,66415,DEBORAH BECKWITH,Inspection Results and Facility Details,785-857-3388
EDWARDSVILLE OPERATOR LLC,EDWARDSVILLE CARE AND REHABILITATION CENTER,N105004,Mental Health Nursing Facility,751 BLAKE STREET,EDWARDSVILLE,WYANDOTTE,KS,66111-1338,ROY WALKER,Inspection Results and Facility Details,913-441-1900
EL DORADO OPERATOR LLC,EL DORADO CARE AND REHABILITATION CENTER,N008003,Nursing Facility,900 COUNTRY CLUB LANE,EL DORADO,BUTLER,KS,67042,JAMY THOMPSON,Inspection Results and Facility Details,316-321-4444
ELDER LIVING LLC,ASTER ESTATES,B005004,Home Plus,155 NW 10TH AVE,GREAT BEND,BARTON,KS,67530,PAMLA S LEWIS,Inspection Results and Facility Details,620-617-4096
ELLINWOOD COUNTRY LIVING,,B005001,Home Plus,302 N. MAIN STREET,ELLINWOOD,BARTON,KS,67526-1613,LAURA SUPPES,Inspection Results and Facility Details,620-564-2100
ELMHAVEN EAST,,N050008,Nursing Facility,1400 S. 15TH STREET,PARSONS,LABETTE,KS,67357-5130,LINDA K ADKINS,Inspection Results and Facility Details,620-421-1430
EMERALD SENIORS LLC,,B087210,Home Plus,1226 S BYRON ROAD,WICHITA,SEDGWICK,KS,67209,AUDRA M. CROUSE,Inspection Results and Facility Details,316-258-1883
EMERIKEYT LIBERAL SPRINGS LLC,BROOKDALE LIBERAL SPRINGS,N088003, Assisted Living Facility,1500 TERRACE AVENUE,LIBERAL,SEWARD,KS,67901,SARAH KNUDSEN,Inspection Results and Facility Details,620-624-8000
ENTERPRISE ESTATES NURSING CENTER,,N021002,Nursing Facility,602 CRESTVIEW DRIVE,ENTERPRISE,DICKINSON,KS,67441,DEJA RHODEMAN,Inspection Results and Facility Details,785-263-8278
ESKRIDGE OPERATOR LLC,ESKRIDGE CARE AND REHABILITATION CENTER,N099002,Mental Health Nursing Facility,505 N MAIN STREET,ESKRIDGE,WABAUNSEE,KS,66423,COLLEEN WEDDLE-RADABAUGH,Inspection Results and Facility Details,785-449-2294
EUREKA NURSING CENTER,,N037004,Nursing Facility,1020 N. SCHOOL STREET,EUREKA,GREENWOOD,KS,67045,MADISON LUTZ,Inspection Results and Facility Details,620-583-7418
EVERGREEN COMMUNITY OF JOHNSON COUNTY,,N046029,Nursing Facility,"11875 S. SUNSET DRIVE, SUITE 100",OLATHE,JOHNSON,KS,66061-2793,CHARLA ROBERTS,Inspection Results and Facility Details,913-477-8227
EXCEL OF OVERLAND PARK LLC,EXCEL HEALTHCARE AND REHAB OVERLAND PARK,N046031,Nursing Facility,5211 WEST 103RD ST,OVERLAND PARK,JOHNSON,KS,66207,MATTHEW BUSHMAN,Inspection Results and Facility Details,913-383-2569
EXCEL OF TOPEKA LLC,EXCEL HEALTHCARE AND REHAB TOPEKA,N089029,Nursing Facility,2515 SW WANAMAKER ROAD,TOPEKA,SHAWNEE,KS,66614-5269,,Inspection Results and Facility Details,785-271-6808
EXCEL OF WICHITA LLC,EXCEL HEALTHCARE AND REHAB WICHITA,N087030,Nursing Facility,7101 E 21ST STREET NORTH,WICHITA,SEDGWICK,KS,67206-1044,BRITNEE L. TATE,Inspection Results and Facility Details,316-684-8018
F W HUSTON MEDICAL CENTER,,H044101,Long Term Care Unit,408 DELAWARE STREET,WINCHESTER,JEFFERSON,KS,66097,HEIDI PICKERELL,Inspection Results and Facility Details,913-774-4340
FAIRVIEW ESTATES RETIREMENT COMMUNITY INC,,N097003, Assisted Living Facility,1630 SEWELL AVENUE,COLBY,THOMAS,KS,67701,DEANNA SNYDER,Inspection Results and Facility Details,785-462-2154
FAMILY HEALTH & REHABILITATION CENTER,,N087061,Nursing Facility,639 S MAIZE COURT,WICHITA,SEDGWICK,KS,67209,LOGAN HOLT,Inspection Results and Facility Details,316-425-5600
FIFTH AVENUE PLACE,,N056013,Intermediate Care Facility for Individuals with Intellectual Disability STATE ONLY,1335 EAST 5TH AVE,EMPORIA,LYON,KS,66801-3626,LORETTA TORRES,Inspection Results and Facility Details,620-341-9900
"FORT SCOTT SENIOR LIVING, LLC",CREDO SENIOR LIVING OF FT. SCOTT,N006008, Assisted Living Facility,820 S HORTON STREET,FORT SCOTT,BOURBON,KS,66701,BETTY ALLEN,Inspection Results and Facility Details,620-223-1222
"FORT SCOTT SENIOR LIVING, LLC",CREDO MEMORY CARE OF FT. SCOTT,B006006,Home Plus,822 S HORTON STREET,FORT SCOTT,BOURBON,KS,66701,BETTY ALLEN,Inspection Results and Facility Details,620-223-1222
FOUNDATION PARK AT COLBERT HILLS LLC,FOUNDATION PARK 4905,B081004,Home Plus,4905 COLBERT HILLS DR,MANHATTAN ,RILEY,KS,66503,JENNIFER HUNTER,Inspection Results and Facility Details,785-370-4116
FOUNDATION PARK AT COLBERT HILLS LLC,FOUNDATION PARK 4925,B081005,Home Plus,4925 COLBERT HILLS DR,MANHATTAN,RILEY,KS,66503,JENNIFER HUNTER,Inspection Results and Facility Details,785-370-4116
"FOUNDATION PARK AT COLBERT HILLS, LLC",FOUNDATION PARK 4915,B081003,Home Plus,4915 COLBERT HILLS DR,MANHATTAN,RILEY,KS,66503,JENNIFER HUNTER,Inspection Results and Facility Details,785-370-4116
FOUNTAINVIEW LIVING LLC,ADVENA LIVING AT FOUNTAINVIEW,N008004,Nursing Facility<BR> Assisted Living Facility,601 N. ROSE HILL ROAD,ROSE HILL,BUTLER,KS,67133,DEANNE SMITH,Inspection Results and Facility Details,316-776-2194
FOWLER RESIDENTIAL CARE,,N060002,Nursing Facility,401 E. 6TH STREET,FOWLER,MEADE,KS,67844,BARBARA WHITNEY,Inspection Results and Facility Details,620-646-5215
FRANKFORT COMMUNITY CARE HOME,,N058002,Nursing Facility,510 N. WALNUT STREET,FRANKFORT,MARSHALL,KS,66427-1446,HALEY J. STEVENS,Inspection Results and Facility Details,785-292-4442
"FSL KANSAS CITY TENANT, LLC",THE PIPER ALF,N105018, Assisted Living Facility<BR> Residential Health Care Facility,2300 N 113TH TERRACE,KANSAS CITY,WYANDOTTE,KS,66109-9806,DANNY R DAVIES,Inspection Results and Facility Details,913-400-7006
FUSION SENIOR CARE HOMES LLC,,B087218,Home Plus,512 N BEBE STREET,WICHITA,SEDGWICK,KS,67212-6382,SYREETA BULGIN,Inspection Results and Facility Details,602-921-1189
GALENA NURSING CENTER,,N011005,Nursing Facility,1220 E. 8TH STREET,GALENA,CHEROKEE,KS,66739,DEBORAH MOSES,Inspection Results and Facility Details,620-783-1383
GARDEN CITY SR OPERATIONS LLC,THE COTTAGES SENIOR CARE LIVING OF GARDEN CITY,B028002,Home Plus,2002 LABRADOR BLVD,GARDEN CITY,FINNEY,KS,67846,YESSICA PEREZ SANCHEZ,Inspection Results and Facility Details,620-290-0469
GARDEN TERRACE AT OVERLAND PARK,,N046022,Nursing Facility,7541 SWITZER ROAD,OVERLAND PARK,JOHNSON,KS,66214-1170,DEBRA BIEHL,Inspection Results and Facility Details,913-631-2273
GARDEN VALLEY RETIREMENT VILLAGE,,N028002,Nursing Facility,1505 E SPRUCE STREET,GARDEN CITY,FINNEY,KS,67846-6296,MARC RILEY,Inspection Results and Facility Details,620-275-9651
GARDEN VILLAS OF LENEXA,,N046078, Assisted Living Facility,9705 MONROVIA STREET,LENEXA,JOHNSON,KS,66215-1564,MARK SUTTON,Inspection Results and Facility Details,913-492-1133
GARTEN COUNTRYSIDE HOME INC,,N021006, Residential Health Care Facility,2454 HWY 15 NORTH,ABILENE,DICKINSON,KS,67410-6077,JAMIE GARTEN,Inspection Results and Facility Details,785-263-7197
GOD'S CHOSEN SENIOR CARE LLC,GOD'S CHOSEN CARE,B087264,Home Plus,2734 N WELLESLEY,WICHITA,SEDGWICK,KS,67220,VALGEAN ROSEBOROUGH,Inspection Results and Facility Details,316-364-4402
GOLDEN BOOMERS 2,,B087242,Home Plus,6900 STONEGATE ST,WICHITA,SEDGWICK,KS,67206,CHRISTINE NGUYEN,Inspection Results and Facility Details,316-730-3110
GOLDEN BOOMERS HOME PLUS LLC,,B087216,Home Plus,6953 E KENTFORD CIRCLE,WICHITA,SEDGWICK,KS,67226-1026,CHRISTINE NGUYEN,Inspection Results and Facility Details,316-730-3110
GOLDEN HEARTS HOME CARE LLC,,B089092,Home Plus,11701 W 60TH PLACE,SHAWNEE,JOHNSON,KS,66203,PAULINE KIMEMIA,Inspection Results and Facility Details,913-375-2502
GOLDEN OAKS HEALTHCARE INC,THE HEALTHCARE RESORT OF KANSAS CITY,N105019,Nursing Facility<BR> Assisted Living Facility,8900 PARALLEL PARKWAY,KANSAS CITY,WYANDOTTE,KS,66112,RYAN LEIKER,Inspection Results and Facility Details,913-788-2100
GOOD SAMARITAN SOCIETY - ATWOOD,,N077001,Nursing Facility,650 LAKE ROAD #216,ATWOOD,RAWLINS,KS,67730-1535,JACQUELINE HONINGS,Inspection Results and Facility Details,785-626-9015
GOOD SAMARITAN SOCIETY - DECATUR COUNTY,,N020001,Nursing Facility,108 E. ASH STREET,OBERLIN,DECATUR,KS,67749-1908,TAMI DENISE KLINEDINST,Inspection Results and Facility Details,785-475-2245
GOOD SAMARITAN SOCIETY - ELLIS,,N026002,Nursing Facility<BR> Residential Health Care Facility,1101 SPRUCE STREET,ELLIS,ELLIS,KS,67637-1799,SHARON LEUENBERGER,Inspection Results and Facility Details,785-726-3101
GOOD SAMARITAN SOCIETY - ELLSWORTH VILLAGE,,N027001,Nursing Facility<BR> Assisted Living Facility,1156 HIGHWAY 14,ELLSWORTH,ELLSWORTH,KS,67439,JESSICA MECHLER,Inspection Results and Facility Details,785-472-3167
GOOD SAMARITAN SOCIETY - HAYS,,N026003,Nursing Facility,2700 CANAL BLVD,HAYS,ELLIS,KS,67601-1798,JOSE NOE GILLESPIE,Inspection Results and Facility Details,785-625-7331
GOOD SAMARITAN SOCIETY - HUTCHINSON VILLAGE,,N078004,Nursing Facility<BR> Assisted Living Facility,810 E. 30TH AVENUE,HUTCHINSON,RENO,KS,67502-4398,COURTNEY BAILEY,Inspection Results and Facility Details,620-663-1189
GOOD SAMARITAN SOCIETY - LIBERAL,,N088001,Nursing Facility,2160 ZINNIA LANE,LIBERAL,SEWARD,KS,67901-2042,OLGA RITCHEY,Inspection Results and Facility Details,620-624-3831
GOOD SAMARITAN SOCIETY - OLATHE,,N046002,Nursing Facility,20705 W. 151ST STREET,OLATHE,JOHNSON,KS,66061-7222,FRED PITZL,Inspection Results and Facility Details,913-782-1372
GOOD SAMARITAN SOCIETY - PARSONS,,N050002,Nursing Facility,709 LEAWOOD AVENUE,PARSONS,LABETTE,KS,67357-3499,ROBERT D. HESS,Inspection Results and Facility Details,620-421-1110
GOOD SAMARITAN SOCIETY - VALLEY VISTA,,N075003,Nursing Facility,2011 GRANDVIEW DRIVE,WAMEGO,POTTAWATOMIE,KS,66547-1159,ANGELA BARBER,Inspection Results and Facility Details,785-456-9482
GOSHEN HOME CARE INC,GOSHEN HOME CARE GRACE HOUSE,B046059,Home Plus,11865 W 155TH TERRACE,OVERLAND PARK,JOHNSON,KS,66221,MONICA KANGETHE,Inspection Results and Facility Details,913-961-5135
GOSHEN HOME CARE INC,,B046036,Home Plus,9939 FOSTER STREET,OVERLAND PARK,JOHNSON,KS,66212-,FAITH NGUGI,Inspection Results and Facility Details,913-341-2724
GOSHEN HOME CARE INC,GOSHEN HOME CARE DAN HOUSE,B089093,Home Plus,5745 ROSEHILL RD,SHAWNEE,JOHNSON,KS,66216,MONICA KANGETHE,Inspection Results and Facility Details,913-296-3136
GOSHEN HOME CARE INC,GOSHEN HOME CARE JOY HOUSE,B046056,Home Plus,15354 QUIVIRA,OVERLAND PARK,JOHNSON,KS,66221,MONICA KANGETHE,Inspection Results and Facility Details,913-257-5425
GRACE COTTAGE LLC,,B087219,Home Plus,531 N CRESTLINE,WICHITA,SEDGWICK,KS,67212,AUBREONA MCCLELLAN,Inspection Results and Facility Details,316-990-2366
GRACE COTTAGE LLC,GRACE COTTAGE- TYLER,B087167,Home Plus,968 N TYLER RD,WICHITA,SEDGWICK,KS,67212-3240,AUBREONA MCCLELLAN,Inspection Results and Facility Details,316-295-9685
GRACEFUL HOME LLC,,B089098,Home Plus,3100 SE ILLINOIS AVE,TOPEKA,SHAWNEE,KS,66605,GRACE TORKO,Inspection Results and Facility Details,785-424-2785
GRACEHEALTH SENIOR HOMES LLC,,B046089,Home Plus,700 WEST ELM STREET,OLATHE,JOHNSON,KS,66061,GRACE GICHARU,Inspection Results and Facility Details,913-553-8872
GRAN VILLAS  ATCHISON,,N003004, Assisted Living Facility,1635 RILEY STREET,ATCHISON,ATCHISON,KS,66002-1514,GLENDA CALLAWAY,Inspection Results and Facility Details,913-367-2077
GRAN VILLAS PITTSBURG,,N019009, Assisted Living Facility,1004 E. CENTENNIAL STREET,PITTSBURG,CRAWFORD,KS,66762-6603,AMY STOUGHTON,Inspection Results and Facility Details,620-231-4554
GRAYSTONE RESIDENTIAL CARE,,N001006, Residential Health Care Facility,2620 N. KENTUCKY STREET,IOLA,ALLEN,KS,66749,PEGGY STRONG,Inspection Results and Facility Details,620-365-6002
GREAT BEND SNF LLC,AZRIA HEALTH WOODHAVEN,N005002,Nursing Facility,1560 KANSAS 96 HIGHWAY,GREAT BEND,BARTON,KS,67530,MADDIE LAGREE,Inspection Results and Facility Details,620-792-2448
GREELEY COUNTY HOSPITAL LTCU,,H036101,Long Term Care Unit,506 3RD ST. PO BOX 338,TRIBUNE,GREELEY,KS,67879,TRICE WATTS,Inspection Results and Facility Details,620-376-4221
GREENWOOD SKILLED NURSING & REHABILITATION CENTER LLC,NOTTINGHAM HEALTH & REHABILITATION,N046084,Nursing Facility,14200 W 134TH PLACE,OLATHE,JOHNSON,KS,66062-6140,BREANNA GREGORY,Inspection Results and Facility Details,913-738-8300
GUEST HOME ESTATES,,N063013, Residential Health Care Facility,400 S. MCGEE STREET,CANEY,MONTGOMERY,KS,67333-2157,MICHELLE GARNER,Inspection Results and Facility Details,620-879-5199
GUEST HOME ESTATES II,,N067009, Residential Health Care Facility,1202 S. PLUMMER,CHANUTE,NEOSHO,KS,66720,MANDY HILLMON,Inspection Results and Facility Details,620-431-9509
GUEST HOME ESTATES III,,N067008, Residential Health Care Facility,7440 220TH ROAD,CHANUTE,NEOSHO,KS,66720,MISSY MICHELLE ROJAS,Inspection Results and Facility Details,620-431-7115
GUEST HOME ESTATES IV,,N019012, Residential Health Care Facility,1910 E. CENTENNIAL,PITTSBURG,CRAWFORD,KS,66762,MARTHA NADINE LOYD,Inspection Results and Facility Details,620-235-0522
GUEST HOME ESTATES VI,,N006001, Residential Health Care Facility,737 HEYLMAN STREET,FORT SCOTT,BOURBON,KS,66701-2421,CYNTHIA L. LIPE,Inspection Results and Facility Details,620-223-1620
GUEST HOME ESTATES VII,,N002001, Residential Health Care Facility,806 W. 4TH STREET,GARNETT,ANDERSON,KS,66032-2415,SANDRA JOHNSON,Inspection Results and Facility Details,785-448-6884
GUEST HOME ESTATES VIII,,N067001, Residential Health Care Facility,114 E MARSHALL STREET,ERIE,NEOSHO,KS,66733-1128,AUTUMN WALTERS,Inspection Results and Facility Details,620-244-5301
"GV-OP COFFEYVILLE, LLC",GRAN VILLAS COFFEYVILLE ON TYLER,N063015, Assisted Living Facility,106 TYLER,COFFEYVILLE,MONTGOMERY,KS,67337-2441,CATHEY HEADY,Inspection Results and Facility Details,620-251-0214
"GV-OP COFFEYVILLE, LLC",GRAN VILLAS COFFEYVILLE ON 8TH,N063016, Assisted Living Facility,2904 W 8TH,COFFEYVILLE,MONTGOMERY,KS,67337-,CATHEY HEADY,Inspection Results and Facility Details,620-251-0214
HALSTEAD HEALTH AND REHABILITATION CENTER,,N040009,Nursing Facility,915 MCNAIR STREET,HALSTEAD,HARVEY,KS,67056,HEATHER WILKINSON,Inspection Results and Facility Details,316-835-4810
HARMONY ADULT HOME PLUS,,B059013,Home Plus,1108 EAST SIMPSON STREET,MCPHERSON,MCPHERSON,KS,67460-6009,BRENDA A FOSTER,Inspection Results and Facility Details,620-242-7981
HARMONY HOUSE HOME PLUS LLC,,B087240,Home Plus,400 N PETERSON AVE,WICHITA,SEDGWICK,KS,67212,LAMEHA HUGHES,Inspection Results and Facility Details,316-351-1148
HAVEN HOUSE,,B078029,Home Plus,410 NORTH RENO AVENUE,HAVEN,RENO,KS,67543-280,VALERIE SMITH,Inspection Results and Facility Details,620-465-2421
HAVILAND OPERATOR LLC,,N049002,Mental Health Nursing Facility,200 N MAIN STREET,HAVILAND,KIOWA,KS,67059,KAREL PAGE,Inspection Results and Facility Details,620-862-5638
HEART TO HEART HOME PLUS,,B030008,Home Plus,3600 COLORADO ROAD,POMONA,FRANKLIN,KS,66076,VELDA JANE WILSON,Inspection Results and Facility Details,785-241-0489
